institution_name,study_period_start_date,credential,program_length, total_estimated_cost ,student_status,Comments,program_length_type
Douglas College,2021-01-04,Certificate in Academic Foundations for Potential Bachelor of Science in Psychiatric Nursing Applicants,1,6439, Attending ,,
University of British Columbia,2021-09-07,Bachelor of Science,4,21000,,,
University of British Columbia,2021-09-07,Bachelor of Arts,4,26000,,,
University of British Columbia,2021-09-04,Bachelor of Arts,4,26000,,,
Simon Fraser University,2020-09-09,Indigenous University Prep,1,5501, Attending ,,
Kwantlen Polytechnic University,2021-09-07,Education Assistant Certificate,1,7372, Attending ,,
Thompson Rivers University,2021-01-11,Bachelor of Arts,4,21704, Hiatus ,,
North Island College,2020-09-01,Office Assistant Certificate,1,1850,,,
University of British Columbia,1770-07-07,,,,,,
University of British Columbia,1770-07-07,Speech Sciences,,,, Not eligible ,
University of British Columbia,2021-09-07,Bachelor of Arts,4,26000,,,
Okanagan College,2022-09-07,Associate of Arts,2,9816,, Transfer from UBC-O ,
Langara College,2020-09-01,Arts and Science Diploma,2,9245, Attending ,,
Okanagan College,2021-04-26,Health Care Assistant,2,3468, Attending , Previously billed. ,
Thompson Rivers University,2021-01-01,General Studies Diploma,2,10000, Hiatus ,,
Vancouver Island University,2021-01-01,Education Assistant and Community Support,1,3265, Attending ,,
College of New Caledonia,2021-01-01,Web & Graphic Design Diploma,3,10920, Attending ,,
Vancouver Island University,2021-02-01,Welder Level B,1,3300, Completed  ,,
Okanagan College,2020-11-03,Carpentry Apprentice,1,938, Completed  ,,
University of British Columbia,2022-01-10,Bachelor of Music,4,27272,,,
College of New Caledonia,2021-02-08,Carpentry Foundations,1,2625, Hiatus ,,
University of the Fraser Valley,2021-10-18,Construction Electrician Certificate,1,4297.1, Attending , Changed from Bachelor of Business Administration Fall '21 ,
Thompson Rivers University,2021-01-04,Health Care Assistant,1,3578, Completed  ,,
Douglas College,2021-01-04,Associate of Arts Degree,2,12000, Hiatus ,,
Simon Fraser University,2022-01-10,Bachelor of Arts,4,27272,,,
Vancouver Island University,2021-01-01,Welding,1,5177, Never Attended ,,
BCIT,2021-01-01,User Interface and Experience Design Associate Certificate,1,2986, Attending ,,
Simon Fraser University,2021-01-11,Bachelor of Arts,4,26704, Attending ,,
College of New Caledonia,2020-10-19,Caprentry Apprentice Level 2,1,1032, Attending ,,
Justice Insitute of British Columbia,2021-01-04,Law Enforcement Studies Diploma,2,12602, Attending ,,
Vancouver Island University,2021-09-06,Dental Assistant Diploma/Bachelor of Arts,4,25000, Attending , DENA start F22; Admitted to BA F21 ,
BCIT,2021-01-01,Interior Design Fundamentals,2,9355, Attending ,,
University of British Columbia Okanagan,2021-09-07,Bachelor of Arts,4,22468,,,
University of Northen BC,2021-01-11,Bachelor of Science in Psychology,4,29928, Attending ,,
Thompson Rivers University,2020-09-09,Bachelor of Science,4,24160, Attending ,,
Douglas College,2021-01-04,Bachelor in Therapeutic Recreation,4,14160, Hiatus ,,
Camosun College,2021-01-01,University Transfer,2,14500, Attending ,,
University of the Fraser Valley,2021-01-06,Social Services Diploma,2,10790, Attending ,,
Vancouver Community College,2021-01-01,Culinary Apprentice Training,,850, Never Attended ,,
Thompson Rivers University,2021-01-01,Information  Technology Certificate,1,8000, Hiatus ,,
University of the Fraser Valley,2021-01-06,Qualifying Studies,1,8726, Hiatus ,,
Douglas College,2021-01-04,Academic Foundations,1,6099, Hiatus ,,
Camosun College,2021-09-07,University Transfer,2,9240, Attending ,,
Vancouver Island University,2021-02-01,Hairdressing Level 2,1,1800, Never Attended ,,
Camosun College,2021-01-01,Bachelor of Sports Management,4,21000, Hiatus ,,
Okanagan College,2021-06-01,Electrician Apprentice Level 2,1,1322, Completed  ,,
Thompson Rivers University,2021-01-01,Bachelor of Arts,4,18800, Attending ,,
Vancouver Island University,2021-02-01,Electrician Certificate,1,4800, Completed  ,,
Kwantlen Polytechnic University,2021-01-05,Marketing,4,25000, Hiatus ,,
Douglas College,2021-01-04,Associate of Arts,2,11696, Hiatus ,,
University of Northen BC,2020-09-09,Integrated Science,4,25964,,,
Douglas College,2021-01-04,General studies Diploma,2,11696, Attending ,,
North Island College,2021-01-06,University Studies,2,1400, Attending ,,
Vancouver Island University,2021-09-01,Early Childhood Education and Care,2,12000, Attending ,,
Thompson Rivers University,2020-09-09,Certificate Visual Arts Studio,4,20936, Hiatus ,,
University of the Fraser Valley,2020-09-01,Criminology,4,23765, Attending ,,
Camosun College,2021-01-11,University Transfer,2,9600, Attending ,,
Thompson Rivers University,2021-01-01,Bachelor of Arts,4,18800, Attending ,,
Douglas College,2021-01-04,Associate of Arts,2,12000, Attending ,,
University of Northen BC,2020-01-06,,,3110.12,,,
Thompson Rivers University,2021-01-01,Bachelor of Business Administration,4,20528, Hiatus ,,
North Island College,2021-01-01,Metal Fabrication Foundation,1,5735, Attending ,,
Emily Carr University of Art & Design,2021-01-01,Continuing Studies Certificate,1,8000, Hiatus , Student appears to have abandoned program; no longer attending ,
Thompson Rivers University,2018-09-01,Bachelor of Social Work,2,13572.96, Attending ,,
University of Victoria,2021-09-01,Bachelor of Social Work,4,26668,,,
University of the Fraser Valley,2021-09-01,Construction Electrician Certificate,1,3844,,,
University of the Fraser Valley,2021-01-06,Horticulture Crop Production and Protection Certificate ,1,7534,,,
University of the Fraser Valley,2020-09-14,Bachelor of Science,4,23765,,,
University of the Fraser Valley,2021-01-06,Applied Business Technology Certificate ,1,7948, Attending ,,
Thompson Rivers University,2021-01-06,Bachelor of Business Administration,4,21528, Attending ,,
University of the Fraser Valley,2022-01-05,Bachelor fo Arts,4,22430,,,
North Island College,2021-02-08,Health Care Assistant,1,3875, Attending ,,
Camosun College,2021-01-11,Associate of Arts,2,9740, Hiatus ,,
University of Victoria,2020-09-01,Bachelor of Arts,4,26668,, Eligilbe Summer '21 ,
University of the Fraser Valley,2021-05-03,Qualifying Studies,1,8726, Hiatus ,,
Okanagan College,2021-01-04,Associate of Arts,2,8984, Hiatus ,,
College of New Caledonia,2021-02-08,Piping Foundation Certificate,1,5000, Hiatus ,,
BCIT,2021-01-01,Computer Information Technology Diploma,2,15176, Attending ,,
Capilano University,2020-09-01,Aboriginal Learners Program Certificate,1,3460, Hiatus ,,
Simon Fraser University,2021-01-01,Bachelor of Arts in Philosophy,2,23666, Attending ,,
Vancouver Community College,2021-01-01,Pre-requisites for LPN,2,18000, Never Attended ,,
Okanagan College,2021-01-04,Criminal and Social Justice ,2,8720, Hiatus ,,
Okanagan College,2021-03-23,Electrical Apprenticeship Level 1,1,1322, Completed  ,,
College of the Rockies,2019-09-01,Crimininal Social Justice,2,11286.1, Attending , Continuing in Fall ,
BCIT,2020-09-08,Social Media & Digital Marketing Certificate,1,3300, Hiatus ,,
Kwantlen Polytechnic University,2021-01-05,Bachelor of Fashion Design,4,25000, Attending ,,
Okanagan College,2021-09-07,Environmental Studies,2,8984, Attending ,,
University of the Fraser Valley,2020-09-14,Bachelor of Arts,4,23765,,,
University of Victoria,2020-09-01,Bachelor of Arts in Philosophy,4,26668, Attending ,,
BCIT,2022-09-01,Broadcasting and Online Journalism Certificate ,1,6000,, Transfer from Douglas College ,
Vancouver Island University,2021-02-01,Welding Foundation and Fitter,1,7500, Attending ,,
Vancouver Community College,2021-02-08,Professional Cook 2,1,3829, Attending ,,
North Island College,2021-02-08,Simulated Electronic Marine Navigation,1,970, Attending ,,
BCIT,2021-02-01,Joinery/Cabinet Maker Foundation,1,4024, Hiatus ,,
Thompson Rivers University,2021-02-01,Electrical Trade Entry,1,3232, Hiatus ,,
Vancouver Island University,2021-02-01,Health Care Assistant,1,4070, Completed  ,,
Justice Insitute of British Columbia,2021-11-01,Emergency Medical Responder & Primary Care Paramedic,1,7050,,,
,1770-07-07,,,,,,
Camosun College,2021-09-01,Associate of Arts,2,14000, Never Attended ,,
University of the Fraser Valley,2021-01-01,Powerline Technician Certificate,,11300,,,
Camosun College,1770-07-07,Electronics and Computer Engineering,2.5,16587, Attending ,,
University of the Fraser Valley,2020-09-14,Bachelor of Arts in Crimincal Justice,,23765,,,
Vancouver Island University,2021-09-01,Bachelor of Arts,4,28120, Attending ,,
Vancouver Island University,2021-09-07,Resource Management Officer Technology,2,13000, Attending ,,
Justice Insitute of British Columbia,2021-02-22,Basic Security Training & Assessment,1,372, Hiatus ,,
Douglas College,2021-01-04,Academic Foundations for Potential BSN,1,6098, Attending , Eligible Summer '21 forward ,
University of the Fraser Valley,2020-09-14,Bachelor of Science,4,23765,,,
Justice Institute of British Columbia,2022-06-06,"EMR, Primary Care Paramedic",1,7300.1,,,
Langara College,2021-09-01,Internet & Web Technology Certificate,1,4888, Hiatus , tuition and application fees ,
BCIT,2021-04-01,Network Administrator Technician,1,4700, Hiatus ,,
Douglas College,2021-05-06,A-Z Personal Trainer ,1,1575, Hiatus ,,
BCIT,2021-04-01,Maketing Management Diploma,2,12320, Attending ,,
Langara College,2021-09-01,Bachelor of Science,4,29558, Attending ,,
North Island College,2021-05-01,University Transfer,2,7200, Attending ,,
Vancouver Island University,2021-09-07,Animal Care Aide / Resource Management Officer Tech Program,2,15685, Attending ,,
Simon Fraser University,2021-09-08,Bachelor of Education,4,28200, Attending ,,
Vancouver Community College,2021-05-01,Hairstyle Design,1,8500, Hiatus ,,
University of the Fraser Valley,2021-09-13,Qualifying Studies,1,8700,,,
Vancouver Community College,2021-04-01,Professional Cook 1,1,5000, Attending ,,
Thompson Rivers University,2021-07-01,Carpentry,1,4156, Hiatus ,,
University of the Fraser Valley,2021-03-15,Construction Electrical,1,3844, Attending , Fees paid by sponsor ,
BCIT,2021-04-01,Office Administration Technology,1,6496, Hiatus ,,
Vancouver Island University,2021-09-07,Bachelor of Arts in Child and Youth Care,4,25000, Hiatus , WDR ,
Langara College,2021-03-31,Massage Therapy,2,30022, Attending ,,
Vancouver Island University,1770-07-07,Proficiency in Language and Culture Certificate,2,7216, Never Attended , Student not going to attend at this time ,
Kwantlen Polytechnic University,2021-09-01,Farrier Program,1,7000,, Student starting Oct ,
Thompson Rivers University,2021-01-06,Health Care Assistant Certificate,1,3579, Hiatus ,,
Okanagan College,2021-06-07,Automotive Service Technician,1,4977,,,
Thompson Rivers University,2021-01-06,Bachelor of Arts,4,20960, Hiatus ,,
North Island College,2021-09-07,Criminology Diploma,2,7480,,,
University of British Columbia Okanagan,2021-05-10,Bachelor of Science,4,19000, Attending ,,
Vancouver Island University,2022-09-01,Community Mental Health Worker,1,8396,,,
University of Victoria,2021-09-01,Bachelor of Arts,4,26668, Attending ,,
Camosun College,2021-09-01,Associate Degree of Science,2,12000,, Eligible Summer '22 ,
Thompson Rivers University,2021-08-31,Retail Meat Processing Credential,1,4411, Attending ,,
Camosun College,2021-09-01,Indigenous Studies,2,10000,, Eligible Winter '21 forward ,
Capilano University,2021-05-01,Grip Work Digital Imaging and Film Credential,1,1664, Never Attended ,,
University of British Columbia Okanagan,2021-09-07,Bachelor of Arts,4,26000, Attending ,,
Douglas College,2021-05-03,Career Development Practice,3,5332, Attending ,,
College of New Caledonia,2021-09-07,Social Services Worker Diploma,2,8206, Attending ,,
Langara College,2022-09-01,Professionl Photography Diploma,2,8828,,,
Capilano University,2021-05-10,Associate of Arts,2,10786, Attending ,,
Vancouver Community College,2021-05-06,Hair Design,1,10000, Attending ,,
University of the Fraser Valley,2020-01-06,Bachelor of Arts,4,21609,,,
BCIT,2021-09-07,Construction Drawing Associate Certificate,1,4500, Hiatus ,,
Douglas College,2021-05-01,Associate of Arts,2,11447, Hiatus ,,
Justice Institute of British Columbia,2022-11-14,EMR,1,1787,, Transferred from VIU ,
Capilano University,2021-09-01,Associate of Science,2,11328.24, Attending ,,
Camosun College,2021-04-06,Carpentry Foundations,1,3070, Never Attended ,,
Vancouver Community College,2021-04-06,Baking and Pastry Arts,1,6498, Attending ,,
North Island College,2021-09-07,Plumbing Apprentice Level 1,1,775, Attending ,,
Vancouver Community College,2021-05-04,Digital Marketing ,1,1200, Hiatus ,,
Justice Insitute of British Columbia,2021-06-21,Emergency Medical Responder,1,1813, Completed  ,,
Camosun College,2021-09-07,Arts and Science Diploma,2,12000,, Eligible Winter '22 froward only ,
Kwantlen Polytechnic University,2021-09-07,Automotive Service Technician ,1,5845, Hiatus ,,
Justice Insitute of British Columbia,2021-09-07,Law Enfrocement Studies Diploma,2,11305, Attending , Application Fee for LESD ,
Camosun College,2021-09-01,Arts & Science Diploma,2,12000, Never Attended ,,
Langara College,2021-09-01,Associate of Science,2,9523, Attending ,,
Vancouver Community College,2021-05-01,Hairstylist,1,8500, Hiatus ,,
Camosun College,2021-05-01,Health Care Assistant,1,3425, Attending ,,
Selkirk College,2021-09-07,Associate of Arts,2,7169, Never Attended ,,
University of the Fraser Valley,2021-01-06,Bachelor of Arts,4,23765, Attending ,,
Vancouver Island University,2022-09-01,Indigenous Land Management Certificate,1,8000,,,
North Island College,2021-09-04,Office Assistant Certificate,1,2185, Attending ,,
University of the Fraser Valley,1770-07-07,,,,,,
University of Victoria,2021-09-08,Humanities,4,26668,, Eligible Jan '23 ,
BCIT,2021-09-01,Business Management Diploma,2,12780, Never Attended ,,
University of the Fraser Valley,2021-09-13,Bachelor of Social Work,4,23765, Attending ,,
Emily Carr University of Art & Design,2021-09-07,Bachelor of Fine Arts,4,19000, Attending ,,
Douglas College,2021-05-10,General Studies Diploma,2,11696, Attending ,,
Douglas College,2022-09-06,General Studies Diploma,2,9042,, Transfer from KPU ,
Kwantlen Polytechnic University,2021-05-10,Bachelor of Arts,4,33240, Hiatus ,,
Capilano University,2023-01-01,Arts and Entertainment Management,2,14770,, Transfer from Douglas College ,
Okanagan College,2021-06-07,Automotive Service Technician,1,4977, Attending ,,
University of British Columbia,2021-09-07,Bachelor of Arts,4,26000,, Not eligible until Sept '23 ,
University of British Columbia,2021-05-10,Real Estate,1,1300, Completed  ,,
University of the Fraser Valley,2022-09-06,Qualifying Studies,1,8468,, Transfer from Langara ,
College of New Caledonia,2021-09-07,Professional Cook,1,5382, Attending ,,
University of the Fraser Valley,2021-09-13,General Studies Diploma,2,10790, Attending ,,
Camosun College,2021-05-03,Arts & Science,2,12000, Hiatus ,,
Camosun College,2021-09-06,Criminal Justice Diploma,2,12000, Attending ,,
Okanagan College,2021-07-27,Refrigeration & Air Conditioning Certificate,1,3741, Attending ,,
University of Victoria,2021-09-01,Bachelor of Social Work,4,26668, Attending ,,
Capilano University,2021-09-01,Bachelor of Business Administration,4,26184, Attending ,,
Okanagan College,2021-08-30,Early Childhood Education,1,9038, Attending ,,
University of British Columbia,2021-09-07,Bachelor of Applied Biology,4,30000, Attending ,,
Okanagan College,2021-01-11,Associate of Arts,2,8984, Attending ,,
Douglas College,2021-09-07,General Business Diploma,2,12409, Attending ,,
Okanagan College,2021-09-08,Associate of Arts,2,8984, Attending ,,
University of the Fraser Valley,2022-01-05,General Studies Diploma,2,11215,,,
University of the Fraser Valley,2021-09-13,Bacehelor of Arts in Child and Youth Care,4,23765, Attending ,,
Douglas College,2021-09-07,Medical Office Assistant,1,6692, Attending ,,
University of British Columbia,2021-05-10,Bachelor of Arts,4,24000, Attending ,,
